,trip_id,schedule_relationship,latitude,longitude,bearing,speed,timestamp,vehicle.id,source,route_id,direction_id,route_short_name,route_type,assigned_berth
1,,,58.417449951171875,15.622955322265625,0.0,0.0,1647928799,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-00Z.pb,-1,-1,-1,-1,
2,55700000063278840,0.0,58.41769790649414,15.622908592224121,320.0,0.0,1647928798,9031005920505737,otraf-vehiclepositions-2022-03-22T07-00-00Z.pb,9011005021500000,1,15,700,A1
3,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928798,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-00Z.pb,9011005020200000,1,2,700,A6
4,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928798,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-00Z.pb,9011005020100000,0,1,700,A3
6,55700000063338064,0.0,58.417057037353516,15.624249458312988,322.0,0.0,1647928797,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-00Z.pb,9011005020300000,1,3,700,
7,55700000063262810,0.0,58.416873931884766,15.62392807006836,320.0,0.0,1647928798,9031005920505733,otraf-vehiclepositions-2022-03-22T07-00-00Z.pb,9011005022100000,1,21,700,C4
9,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928798,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-00Z.pb,9011005021100000,1,11,700,B2
11,,,58.417449951171875,15.622955322265625,0.0,0.0,1647928800,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-01Z.pb,-1,-1,-1,-1,
12,55700000063278840,0.0,58.41769790649414,15.622908592224121,320.0,0.0,1647928799,9031005920505737,otraf-vehiclepositions-2022-03-22T07-00-01Z.pb,9011005021500000,1,15,700,A1
13,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928799,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-01Z.pb,9011005020200000,1,2,700,A6
14,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928799,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-01Z.pb,9011005020100000,0,1,700,A3
16,55700000063338064,0.0,58.417057037353516,15.624249458312988,322.0,0.0,1647928799,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-01Z.pb,9011005020300000,1,3,700,
17,55700000063262810,0.0,58.416873931884766,15.62392807006836,320.0,0.0,1647928799,9031005920505733,otraf-vehiclepositions-2022-03-22T07-00-01Z.pb,9011005022100000,1,21,700,C4
19,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928799,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-01Z.pb,9011005021100000,1,11,700,B2
21,,,58.41745376586914,15.622955322265625,0.0,0.0,1647928801,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-02Z.pb,-1,-1,-1,-1,
22,55700000063278840,0.0,58.41769790649414,15.622908592224121,320.0,0.0,1647928800,9031005920505737,otraf-vehiclepositions-2022-03-22T07-00-02Z.pb,9011005021500000,1,15,700,A1
23,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928800,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-02Z.pb,9011005020200000,1,2,700,A6
24,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928800,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-02Z.pb,9011005020100000,0,1,700,A3
26,55700000063338064,0.0,58.417057037353516,15.624249458312988,322.0,0.0,1647928800,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-02Z.pb,9011005020300000,1,3,700,
27,55700000063262810,0.0,58.416873931884766,15.62392807006836,320.0,0.0,1647928800,9031005920505733,otraf-vehiclepositions-2022-03-22T07-00-02Z.pb,9011005022100000,1,21,700,C4
29,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928800,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-02Z.pb,9011005021100000,1,11,700,B2
31,,,58.41745376586914,15.622955322265625,0.0,0.0,1647928803,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-03Z.pb,-1,-1,-1,-1,
32,55700000063278840,0.0,58.41769790649414,15.622908592224121,320.0,0.0,1647928802,9031005920505737,otraf-vehiclepositions-2022-03-22T07-00-03Z.pb,9011005021500000,1,15,700,A1
33,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928802,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-03Z.pb,9011005020200000,1,2,700,A6
34,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928801,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-03Z.pb,9011005020100000,0,1,700,A3
