,index,vehicle,timestart,timestop,detected_berth,computed_berths_for_vehicle,route,status,remarks
0,17,9031005920505664,2022-03-22 06:59:57,2022-03-22 07:00:28,-1,"['A5', 'A6']","['3', '3', '2', '2', '2']",unclear,{}
1,26,9031005920505688,2022-03-22 06:59:58,2022-03-22 07:02:54,B2,['B2'],"['11', '11', '11', '11']",confirmed,{}
2,2,9031005920505737,2022-03-22 06:59:58,2022-03-22 07:00:10,A1,['A1'],"['15', '15']",confirmed,{'at_crossing': 'E'}
3,10,9031005920505673,2022-03-22 06:59:58,2022-03-22 07:00:11,A3,"['A3', 'A2']","['1', '1', '1', '1']",confirmed,{}
4,5,9031005920505682,2022-03-22 06:59:58,2022-03-22 07:02:02,A6,['A6'],"['2', '2', '4', '4']",confirmed,{}
5,0,9031005918308827,2022-03-22 06:59:59,2022-03-22 07:05:02,-1,['C1'],['530'],unclear,{}
6,3,9031005920505737,2022-03-22 07:00:27,2022-03-22 07:00:55,-1,['A1'],"['15', '15']",regular_stop,{}
7,33,9031005920505752,2022-03-22 07:00:29,2022-03-22 07:08:25,-1,['E1'],"['6', '6', '6']",unclear,{}
8,11,9031005920505673,2022-03-22 07:00:35,2022-03-22 07:00:55,-1,"['A3', 'A2']","['1', '1', '1', '1']",unclear,{}
9,21,9031005920505733,2022-03-22 07:00:36,2022-03-22 07:00:56,-1,"['C4', 'E2', 'A1']","['21', '10', '15']",unclear,{'at_crossing': 'E'}
10,36,9031005920505671,2022-03-22 07:00:43,2022-03-22 07:10:30,B6,['B6'],"['12', '12', '12', '12']",confirmed,{}
11,40,9031005918308622,2022-03-22 07:01:15,2022-03-22 07:05:03,C3,"['C1', 'C3']","['530', '522', '521']",confirmed,{}
12,45,9031005918308632,2022-03-22 07:01:39,2022-03-22 07:01:54,-1,['C1'],['546'],regular_stop,{}
13,46,9031005918308632,2022-03-22 07:02:16,2022-03-22 07:02:32,-1,['C1'],['546'],unclear,{}
14,51,9031005920505509,2022-03-22 07:02:35,2022-03-22 07:06:02,B3,"['B3', 'A4']","['5', '5', '5']",confirmed,{}
15,57,9031005920505505,2022-03-22 07:02:37,2022-03-22 07:05:30,C5,"['C5', 'C4']","['16', '16', '16']",confirmed,{}
16,63,9031005920505666,2022-03-22 07:02:51,2022-03-22 07:04:50,D1,"['A6', 'D1', 'A2', 'A3']","['2', '23', '1', '1']",confirmed,{}
17,6,9031005920505682,2022-03-22 07:02:51,2022-03-22 07:03:08,E2,['A6'],"['2', '2', '4', '4']",regular_stop,{}
18,68,9031005920505651,2022-03-22 07:03:18,2022-03-22 07:05:09,A2,"['A2', 'A3']","['1', '1', '1']",confirmed,{}
19,73,9031005920505747,2022-03-22 07:03:25,2022-03-22 07:05:07,A5,"['B5', 'E1']","['14', '18', '6', '6', '6']",unclear,{}
20,47,9031005918308632,2022-03-22 07:03:38,2022-03-22 07:05:08,-1,['C1'],['546'],unclear,{}
21,79,9031005920505646,2022-03-22 07:04:23,2022-03-22 07:04:38,A6,['A6'],"['4', '2', '2', '4']",confirmed,{}
22,84,9031005920505661,2022-03-22 07:04:40,2022-03-22 07:06:55,-1,"['B4', 'B2']","['13', '13', '13']",unclear,{}
23,80,9031005920505646,2022-03-22 07:05:12,2022-03-22 07:07:10,-1,['A6'],"['4', '2', '2', '4']",unclear,{}
24,88,9031005920505669,2022-03-22 07:05:30,2022-03-22 07:11:02,A5,['A5'],"['3', '3', '3']",confirmed,{}
25,1,9031005918308827,2022-03-22 07:05:31,2022-03-22 07:05:47,-1,['C1'],['530'],regular_stop,{}
26,64,9031005920505666,2022-03-22 07:05:35,2022-03-22 07:05:56,A1,"['A6', 'D1', 'A2', 'A3']","['2', '23', '1', '1']",unclear,{}
27,69,9031005920505651,2022-03-22 07:05:35,2022-03-22 07:05:47,-1,"['A2', 'A3']","['1', '1', '1']",unclear,{'vehicle_infront': [{'vehicle': '9031005918308827'}]}
28,48,9031005918308632,2022-03-22 07:05:36,2022-03-22 07:05:48,-1,['C1'],['546'],unclear,{'at_crossing': 'E'}
29,41,9031005918308622,2022-03-22 07:05:37,2022-03-22 07:05:49,-1,"['C1', 'C3']","['530', '522', '521']",unclear,{'vehicle_infront': [{'vehicle': '9031005918308632'}]}
30,74,9031005920505747,2022-03-22 07:05:40,2022-03-22 07:05:51,-1,"['B5', 'E1']","['14', '18', '6', '6', '6']",unclear,{'vehicle_infront': [{'vehicle': '9031005918308632'}]}
31,93,9031005920505663,2022-03-22 07:05:50,2022-03-22 07:10:02,A3,"['A3', 'A2', 'D1']","['1', '1', '20']",confirmed,{}
32,102,9031005918308725,2022-03-22 07:06:02,2022-03-22 07:06:32,C5,"['C3', 'C1', 'C4']","['522', '39', '513']",unclear,{}
33,49,9031005918308632,2022-03-22 07:06:18,2022-03-22 07:06:37,-1,['C1'],['546'],unclear,{}
34,52,9031005920505509,2022-03-22 07:06:35,2022-03-22 07:07:04,-1,"['B3', 'A4']","['5', '5', '5']",regular_stop,{}
35,50,9031005918308632,2022-03-22 07:07:17,2022-03-22 07:07:24,-1,['C1'],['546'],unclear,{}
36,107,9031005920505515,2022-03-22 07:07:20,2022-03-22 07:08:38,A4,"['A4', 'B3']","['5', '5', '5']",confirmed,{}
37,113,9031005920505665,2022-03-22 07:08:20,2022-03-22 07:09:53,B2,"['B2', 'B4']","['13', '13']",confirmed,{}
38,81,9031005920505646,2022-03-22 07:08:24,2022-03-22 07:09:44,D1,['A6'],"['4', '2', '2', '4']",unclear,{}
39,116,9031005920505759,2022-03-22 07:08:38,2022-03-22 07:09:54,B1,"['B1', 'E2']","['10', '10', '10']",confirmed,{}
40,108,9031005920505515,2022-03-22 07:09:27,2022-03-22 07:09:36,-1,"['A4', 'B3']","['5', '5', '5']",regular_stop,{}
41,130,9031005920505757,2022-03-22 07:09:36,2022-03-22 07:16:03,B5,"['E1', 'B5', 'A1']","['6', '18', '14']",confirmed,{}
42,122,9031005920505500,2022-03-22 07:09:39,2022-03-22 07:10:12,A1,"['A1', 'C5', 'C4']","['14', '16', '16']",confirmed,{}
43,135,9031005920505658,2022-03-22 07:09:51,2022-03-22 07:10:59,C4,"['C4', 'B5', 'D1']","['16', '14', '18', '20']",confirmed,{}
44,82,9031005920505646,2022-03-22 07:10:03,2022-03-22 07:14:13,A6,['A6'],"['4', '2', '2', '4']",confirmed,{}
45,140,9031005920505744,2022-03-22 07:10:08,2022-03-22 07:10:29,E1,"['E2', 'B1', 'B5']","['10', '10', '10', '18']",unclear,{}
46,123,9031005920505500,2022-03-22 07:10:25,2022-03-22 07:10:56,A1,"['A1', 'C5', 'C4']","['14', '16', '16']",confirmed,{'at_crossing': 'E'}
47,117,9031005920505759,2022-03-22 07:10:29,2022-03-22 07:10:48,-1,"['B1', 'E2']","['10', '10', '10']",regular_stop,{}
48,94,9031005920505663,2022-03-22 07:10:30,2022-03-22 07:10:56,-1,"['A3', 'A2', 'D1']","['1', '1', '20']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505500'}]}
49,146,9031005920505686,2022-03-22 07:10:33,2022-03-22 07:15:18,B6,"['C5', 'A5']","['17', '17', '3']",unclear,{}
50,114,9031005920505665,2022-03-22 07:10:34,2022-03-22 07:10:53,-1,"['B2', 'B4']","['13', '13']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505759'}]}
51,141,9031005920505744,2022-03-22 07:10:38,2022-03-22 07:10:50,E2,"['E2', 'B1', 'B5']","['10', '10', '10', '18']",confirmed,{}
52,142,9031005920505744,2022-03-22 07:11:18,2022-03-22 07:11:29,-1,"['E2', 'B1', 'B5']","['10', '10', '10', '18']",unclear,{}
53,143,9031005920505744,2022-03-22 07:11:43,2022-03-22 07:11:52,-1,"['E2', 'B1', 'B5']","['10', '10', '10', '18']",unclear,{}
54,89,9031005920505669,2022-03-22 07:11:48,2022-03-22 07:12:24,-1,['A5'],"['3', '3', '3']",regular_stop,{}
55,149,9031005920505672,2022-03-22 07:12:37,2022-03-22 07:20:02,B5,"['A6', 'C4']","['2', '21']",unclear,{}
56,151,9031005920505514,2022-03-22 07:12:57,2022-03-22 07:15:01,A2,"['A2', 'A3']","['1', '1', '1']",confirmed,{}
57,156,9031005920505746,2022-03-22 07:13:11,2022-03-22 07:18:13,B2,['B2'],"['11', '11', '11', '11', '11', '11']",confirmed,{}
58,162,9031005920505731,2022-03-22 07:14:07,2022-03-22 07:20:05,A1,"['A1', 'D1']","['15', '15', '15', '20']",confirmed,{}
59,169,9031005920505670,2022-03-22 07:14:55,2022-03-22 07:20:43,-1,"['A5', 'A6']","['3', '4', '4', '4']",unclear,{}
60,152,9031005920505514,2022-03-22 07:15:28,2022-03-22 07:15:48,-1,"['A2', 'A3']","['1', '1', '1']",regular_stop,{}
61,178,9031005920505511,2022-03-22 07:16:09,2022-03-22 07:17:51,A4,"['A4', 'B3']","['5', '5', '5']",confirmed,{}
62,183,9031005918308829,2022-03-22 07:16:10,2022-03-22 07:20:18,C3,['C3'],"['521', '521', '521']",confirmed,{}
63,188,9031005920505507,2022-03-22 07:16:32,2022-03-22 07:20:03,-1,"['A3', 'A2']","['1', '1', '1']",unclear,{}
64,131,9031005920505757,2022-03-22 07:16:41,2022-03-22 07:16:54,-1,"['E1', 'B5', 'A1']","['6', '18', '14']",regular_stop,{}
65,192,9031005918308734,2022-03-22 07:16:46,2022-03-22 07:17:15,C5,['C4'],['513'],unclear,{}
66,193,9031005920505506,2022-03-22 07:17:12,2022-03-22 07:17:19,-1,"['B4', 'B2']","['13', '13', '13']",unclear,{'at_crossing': 'B6'}
67,198,9031005920505675,2022-03-22 07:17:20,2022-03-22 07:23:13,A5,"['A5', 'C4']","['3', '3', '3', '21']",confirmed,{}
68,194,9031005920505506,2022-03-22 07:17:44,2022-03-22 07:22:18,B4,"['B4', 'B2']","['13', '13', '13']",confirmed,{}
69,202,9031005918308824,2022-03-22 07:17:53,2022-03-22 07:18:34,C5,['C1'],"['30', '30']",unclear,{}
70,207,9031005920505510,2022-03-22 07:18:03,2022-03-22 07:18:25,-1,"['B3', 'A4']","['5', '5', '5']",unclear,{}
71,179,9031005920505511,2022-03-22 07:18:10,2022-03-22 07:18:19,-1,"['A4', 'B3']","['5', '5', '5']",unclear,{}
72,214,9031005918308830,2022-03-22 07:18:28,2022-03-22 07:18:56,B6,"['C1', 'C2']","['39', '520']",unclear,{}
73,217,9031005920505516,2022-03-22 07:18:36,2022-03-22 07:22:12,D1,"['A6', 'D1', 'A5', 'C5']","['4', '20', '3', '3', '3', '17']",confirmed,{}
74,222,9031005920505743,2022-03-22 07:19:04,2022-03-22 07:19:36,A4,"['E1', 'B5']","['6', '6', '18']",unclear,{}
75,203,9031005918308824,2022-03-22 07:19:17,2022-03-22 07:19:42,-1,['C1'],"['30', '30']",regular_stop,{}
76,215,9031005918308830,2022-03-22 07:19:32,2022-03-22 07:19:46,-1,"['C1', 'C2']","['39', '520']",unclear,{}
77,208,9031005920505510,2022-03-22 07:19:33,2022-03-22 07:19:59,B3,"['B3', 'A4']","['5', '5', '5']",confirmed,{}
78,228,9031005920505667,2022-03-22 07:19:50,2022-03-22 07:20:47,-1,"['B5', 'D1', 'A2', 'A3']","['18', '23', '1', '1']",unclear,{}
79,223,9031005920505743,2022-03-22 07:20:20,2022-03-22 07:23:09,E1,"['E1', 'B5']","['6', '6', '18']",confirmed,{}
80,244,9031005920505758,2022-03-22 07:20:28,2022-03-22 07:20:50,-1,"['B1', 'E2']","['10', '10']",unclear,{}
81,235,9031005920505736,2022-03-22 07:20:29,2022-03-22 07:20:43,-1,"['E1', 'A1', 'C4']","['6', '15', '15', '21']",unclear,{}
