Name,ID,Lat,Lon
Karesuando A,192840,68.4418,22.4435
Mierkenis A,166910,66.6802,16.1053
Luleå-Kallax Flygplats,162860,65.5430,22.1240
Holmön A,140460,63.8070,20.8645
Hallhåxåsen A,135460,63.7685,15.3279
Gävle A,107420,60.7161,17.1607
Gustavsfors A,103100,60.1533,13.7990
Stockholm-Observatoriekullen A,98230,59.3417,18.0549
Linköping-Malmslätt,85240,58.3980,15.5230
Enköping,97370,59.6500,17.1200
Göteborg A,71420,57.7156,11.9924
Ölands södra udde A,66110,56.1977,16.4005
Falsterbo A,52240,55.3837,12.8166
