berth,latitude,longitude
A1,58.41770150,15.62301544
A2,58.41753355,15.62333695
A3,58.41736495,15.62365650
A4,58.41720093,15.62397148
A5,58.41702710,15.62428319
A6,58.41686439,15.62460209
B1,58.41760347,15.62292722
B2,58.41744860,15.62317227
B3,58.41728131,15.62349182
B4,58.41711924,15.62381072
B5,58.41694542,15.62412047
B6,58.41678465,15.62443577
C1,58.41747997,15.62286383
C2,58.41719701,15.62333433
C3,58.41703168,15.62364082
C4,58.41686765,15.62396037
C5,58.41670133,15.62427567
D1,58.41654026,15.62489289
E1,58.41787336,15.62233222
E2,58.41782304,15.62231588
