,vehicle,trips,routes,directions,computed,detected_details
0,9031005920505672,"<StringArray>
['55700000063262824']
Length: 1, dtype: string",['21'],[1],['C4'],"     assigned_berth   timestamp
0                B5  1647929759
5                B5  1647929760
10               B5  1647929761
15               B5  1647929762
20               B5  1647929763
...             ...         ...
1750             B5  1647929999
1760             B5  1647929999
1770             B5  1647930001
1779             B5  1647930001
1788             B5  1647930002

[213 rows x 2 columns]"
1,9031005920505670,"<StringArray>
['55700000064970024', '55700000065104181', <NA>]
Length: 3, dtype: string","['4', '4']","[1, 0]",['A6'],"      assigned_berth   timestamp
19673             D1  1647933640
19682             D1  1647933641
19690             D1  1647933642
19698             D1  1647933642
19706             D1  1647933643
...              ...         ...
20970             A1  1647933792
20975             A1  1647933793
20980             A1  1647933794
20985             A1  1647933795
20990             A1  1647933795

[98 rows x 2 columns]"
2,9031005920505757,"<StringArray>
['55700000065078108', '55700000065023550']
Length: 2, dtype: string","['18', '14']","[1, 1]","['B5', 'A1']","      assigned_berth   timestamp
2                 B5  1647929759
7                 B5  1647929760
12                B5  1647929761
17                B5  1647929762
22                B5  1647929763
13392             A1  1647931790
13403             A1  1647931791
13414             A1  1647931792
13425             A1  1647931793
13435             A1  1647931794
13446             A1  1647931795
13457             A1  1647931796
13469             A1  1647931797
13481             A1  1647931797
13493             A1  1647931799
13504             A1  1647931800
13515             A1  1647931801
13524             A1  1647931802
13533             A1  1647931803
13542             A1  1647931804
13551             A1  1647931805
13560             A1  1647931806
13569             A1  1647931808
13578             A1  1647931809
13587             A1  1647931810
13595             A1  1647931811
13603             A1  1647931811
13611             A1  1647931812
13620             A1  1647931813
13628             A1  1647931814
13637             A1  1647931815
13646             A1  1647931816
13655             A1  1647931817"
3,9031005920505746,"<StringArray>
['55700000063302028']
Length: 1, dtype: string",['11'],[1],['B2'],"     assigned_berth   timestamp
3                B2  1647929758
8                B2  1647929759
13               B2  1647929760
18               B2  1647929761
23               B2  1647929763
...             ...         ...
981              B2  1647929888
991              B2  1647929890
1002             B2  1647929891
1013             B2  1647929892
1024             B2  1647929893

[133 rows x 2 columns]"
4,9031005920505731,"<StringArray>
['55700000063278864', '55700000063282160', <NA>, '55700000065074574']
Length: 4, dtype: string","['15', '15', '20']","[1, 0, 1]","['A1', 'D1']","      assigned_berth   timestamp
4                 A1  1647929758
9                 A1  1647929759
14                A1  1647929761
19                A1  1647929762
24                A1  1647929763
...              ...         ...
19345             D1  1647933602
19357             D1  1647933603
19369             D1  1647933605
19380             D1  1647933606
19391             D1  1647933607

[389 rows x 2 columns]"
5,9031005920505511,"<StringArray>
['55700000065100883']
Length: 1, dtype: string",['5'],[0],['A4'],"    assigned_berth   timestamp
48              A4  1647929769
54              A4  1647929770
60              A4  1647929771
66              A4  1647929772
72              A4  1647929773
..             ...         ...
797             A4  1647929866
806             A4  1647929867
815             A4  1647929868
824             A4  1647929870
833             A4  1647929871

[103 rows x 2 columns]"
6,9031005918308829,"<StringArray>
['55700000063171276', '55700000063168978']
Length: 2, dtype: string","['521', '521']","[0, 1]",['C3'],"     assigned_berth   timestamp
53               C3  1647929770
59               C3  1647929771
65               C3  1647929772
71               C3  1647929773
77               C3  1647929773
...             ...         ...
2143             C1  1647930046
2153             C1  1647930047
2160             C1  1647930049
2167             C1  1647930050
2174             C1  1647930050

[225 rows x 2 columns]"
7,9031005920505507,"<StringArray>
['55700000065109999', '55700000065110231']
Length: 2, dtype: string","['1', '1']","[0, 0]",['A3'],"      assigned_berth   timestamp
24606             A3  1647934711
24614             A3  1647934712
24622             A3  1647934713
24630             A3  1647934715
24638             A3  1647934716
24646             A3  1647934717
24654             A3  1647934720
24661             A3  1647934722
24669             A3  1647934723
24678             A3  1647934724
24687             A3  1647934726
24696             A3  1647934727
24705             A3  1647934729"
8,9031005918308734,"<StringArray>
['55700000063584937', <NA>]
Length: 2, dtype: string",['513'],[0],['C4'],"    assigned_berth   timestamp
283             C5  1647929806
292             C5  1647929807
301             C5  1647929808
310             C5  1647929809
319             C5  1647929810
328             C5  1647929811
337             C5  1647929812
346             C5  1647929813
355             C5  1647929813
364             C5  1647929815
373             C5  1647929815
381             C5  1647929817
389             C5  1647929818
397             C5  1647929819
405             C5  1647929820
413             C5  1647929821
421             C5  1647929822
429             C5  1647929823
437             C5  1647929824
445             C5  1647929824
453             C5  1647929825
461             C5  1647929827
469             C5  1647929828
477             C5  1647929829
485             C5  1647929830
493             C5  1647929831
501             C5  1647929832
510             C5  1647929833
519             C5  1647929833
528             C5  1647929835
537             C5  1647929835"
9,9031005920505506,"<StringArray>
['55700000065015753']
Length: 1, dtype: string",['13'],[0],['B4'],"     assigned_berth   timestamp
764              B4  1647929864
773              B4  1647929864
782              B4  1647929866
791              B4  1647929866
800              B4  1647929867
...             ...         ...
2655             B4  1647930133
2662             B4  1647930134
2669             B4  1647930135
2676             B4  1647930136
2683             B4  1647930138

[136 rows x 2 columns]"
