imprecision.imprecision_val,imprecision.imprecision_std,imprecision.imprecision_trajs.kept,imprecision.imprecision_trajs.multiple_clusters,imprecision.imprecision_trajs.too_few_trajs_main_cluster,imprecision.imprecision_trajs.too_few_trajs_general,GPS.hdop,GPS.vtec,weather.Lufttemperatur.value,weather.Lufttemperatur.station_id,weather.Relativ Luftfuktighet.value,weather.Relativ Luftfuktighet.station_id,weather.Nederbördsmängd.value,weather.Nederbördsmängd.station_id,weather.Lufttryck reducerat havsytans nivå.value,weather.Lufttryck reducerat havsytans nivå.station_id,datetime
2.71960775890139E-05,2.38738846165352E-05,14,0,0,32,0.68206619209671,21.4,-1.29999995231628,85240,84,85240,0,85240,1012,85240,2024-01-01T11:00:00.000
2.82979021404959E-05,2.13883200856271E-05,13,0,0,37,0.682047598547024,11.4,-1.60000002384186,85240,85,85240,0,85240,1011.90002441406,85240,2024-01-01T15:00:00.000
2.5725337931895E-05,7.93986119533721E-06,4,0,0,40,0.682027297757945,3.3,-2.5,85240,79,85240,0,85240,1013.20001220703,85240,2024-01-01T20:00:00.000
NaN,0,0,0,0,33,0.682092379209379,3.4,-1,85240,83,85240,0,85240,1010.90002441406,85240,2024-01-01T06:00:00.000
2.75033602565122E-05,1.7841336285431E-05,15,0,0,35,0.707356967251811,21.2,-19.1000003814697,85240,86,85240,0,85240,1023,85240,2024-01-06T11:00:00.000
3.54301081055002E-05,3.54008324281724E-05,16,0,0,35,0.707000657575523,11.5,-17,85240,87,85240,0,85240,1024.90002441406,85240,2024-01-06T15:00:00.000
3.04267921344296E-05,1.67144829018044E-05,4,0,0,39,0.706559920515151,1.9,-16.7000007629395,85240,88,85240,0,85240,1027.5,85240,2024-01-06T20:00:00.000
NaN,0,0,0,0,33,0.707806971984621,2.3,-22.5,85240,84,85240,0,85240,1020.09997558594,85240,2024-01-06T06:00:00.000
2.85027933921029E-05,1.6212718466232E-05,16,0,0,37,0.673604683472877,28.7,1.79999995231628,85240,87,85240,0,85240,1027.90002441406,85240,2024-01-11T11:00:00.000
3.6093468485388E-05,2.60241748764805E-05,34,0,0,29,0.67341593764603,17,-0.800000011920929,85240,88,85240,0,85240,1029.30004882813,85240,2024-01-11T15:00:00.000
3.60940103654158E-05,3.08205370490324E-05,9,0,0,35,0.675103911662861,3.3,-4.40000009536743,85240,98,85240,0,85240,1029.09997558594,85240,2024-01-11T20:00:00.000
2.99473424503284E-05,2.86616928044679E-05,37,0,0,34,0.673841021904597,5.1,0.200000002980232,85240,89,85240,0,85240,1024.30004882813,85240,2024-01-11T06:00:00.000
2.13636007981998E-05,1.07873665412648E-05,15,0,0,37,0.781332372789859,33.3,-12.6000003814697,85240,92,85240,0,85240,1002.70001220703,85240,2024-01-16T11:00:00.000
3.01386010544735E-05,2.24776314456829E-05,36,0,0,31,0.781158025025872,22,-14,85240,91,85240,0,85240,1002.40002441406,85240,2024-01-16T15:00:00.000
3.5540177960966E-05,2.96391540468033E-05,10,0,0,34,0.78093595642005,4,-14.8999996185303,85240,90,85240,0,85240,1000.70001220703,85240,2024-01-16T20:00:00.000
4.20779609172451E-05,4.15620067844654E-05,32,0,0,33,0.781546116829875,5.6,-18.3999996185303,85240,89,85240,0,85240,1001.29998779297,85240,2024-01-16T06:00:00.000
2.84719049643798E-05,1.85517813389052E-05,14,0,0,34,0.689510631318877,33.9,1.29999995231628,85240,84,85240,0,85240,1013.5,85240,2024-01-21T11:00:00.000
2.80560813331028E-05,2.61132676129357E-05,16,0,0,35,0.689513731151927,22.4,1.79999995231628,85240,61,85240,0,85240,1009.29998779297,85240,2024-01-21T15:00:00.000
3.37167330914393E-05,1.54270367920531E-05,4,0,0,40,0.689517183365631,4,0.400000005960465,85240,89,85240,0,85240,1007.20001220703,85240,2024-01-21T20:00:00.000
NaN,0,0,0,0,30,0.689506316883512,4.5,1,85240,98,85240,0,85240,1016,85240,2024-01-21T06:00:00.000
2.94415655378441E-05,2.04412627731714E-05,16,0,0,36,0.851373195860155,28.3,-0.5,85240,94,85240,0,85240,1011.09997558594,85240,2024-01-26T11:00:00.000
3.29503981011825E-05,3.22406649764473E-05,36,0,0,31,0.851223178463466,26,0.5,85240,97,85240,0.600000023841858,85240,1003.09997558594,85240,2024-01-26T15:00:00.000
3.66660480792873E-05,4.67548965853037E-05,7,0,0,33,0.851033506484871,4.2,1.10000002384186,85240,99,85240,0.5,85240,1001.70001220703,85240,2024-01-26T20:00:00.000
3.20129436141815E-05,2.37190222524143E-05,36,0,0,34,0.851558546286061,4.9,-0.899999976158142,85240,98,85240,0,85240,1017.79998779297,85240,2024-01-26T06:00:00.000
2.6432367101025E-05,1.53907218103278E-05,14,0,0,36,0.768608273682171,28.2,17.7999992370605,85240,66,85240,0,85240,1004.90002441406,85240,2024-07-01T11:00:00.000
2.75153597878929E-05,3.24083609073315E-05,17,0,0,44,0.768910545683167,26.1,20.3999996185303,85240,53,85240,0,85240,1004.29998779297,85240,2024-07-01T15:00:00.000
1.37659891736208E-05,5.7959485684826E-06,2,0,0,40,0.769289760331809,25.5,17.2999992370605,85240,62,85240,0,85240,1004.59997558594,85240,2024-07-01T20:00:00.000
4.24200846282622E-05,4.88224714919153E-05,16,0,0,44,0.768231876724486,22.9,13.8000001907349,85240,94,85240,0,85240,1004.70001220703,85240,2024-07-01T06:00:00.000
2.31944620210665E-05,7.28525197736413E-06,5,0,0,46,0.740998825846115,33.5,16.6000003814697,85240,64,85240,0,85240,1002.79998779297,85240,2024-07-06T11:00:00.000
2.14398031635525E-05,8.56293005719949E-06,5,0,0,44,0.740959663491333,26,16.1000003814697,85240,85,85240,0,85240,1001.29998779297,85240,2024-07-06T15:00:00.000
