imprecision.imprecision_val,imprecision.imprecision_std,imprecision.imprecision_trajs.kept,imprecision.imprecision_trajs.multiple_clusters,imprecision.imprecision_trajs.too_few_trajs_main_cluster,imprecision.imprecision_trajs.too_few_trajs_general,GPS.hdop,GPS.vtec,weather.Lufttemperatur.value,weather.Lufttemperatur.station_id,weather.Relativ Luftfuktighet.value,weather.Relativ Luftfuktighet.station_id,weather.Nederbördsmängd.value,weather.Nederbördsmängd.station_id,weather.Lufttryck reducerat havsytans nivå.value,weather.Lufttryck reducerat havsytans nivå.station_id,datetime
NaN,-0.0,0,0,0,2,0.6823271934907764,9.8,-4.0,96190,83.0,96190,0.0,96190,1015.7000122070312,96190,2024-01-01T15:00:00.000000
NaN,-0.0,0,0,0,2,0.682382570593799,2.3000000000000003,-4.400000095367432,96350,80.0,96190,0.0,96190,1015.0,96190,2024-01-01T06:00:00.000000
NaN,-0.0,0,0,0,2,0.7076374725399777,10.600000000000001,-16.700000762939453,96190,68.0,96190,0.0,96190,1024.9000244140625,96190,2024-01-06T15:00:00.000000
NaN,-0.0,0,0,0,2,0.7084537330364946,1.7000000000000002,-20.0,96350,69.0,96190,0.0,96190,1020.0,96190,2024-01-06T06:00:00.000000
0.000037466211896617904,0.000032246648466905874,2,0,0,0,0.6735329138309976,15.200000000000001,0.4000000059604645,96190,75.0,96190,0.0,96190,1029.0999755859375,96190,2024-01-11T15:00:00.000000
0.000025387786379055964,0.000012749024476198703,4,0,0,0,0.6716002311965648,4.4,2.799999952316284,96350,71.0,96190,0.0,96190,1022.2000122070312,96190,2024-01-11T06:00:00.000000
0.000027035957313282236,8.12433858179549e-6,1,0,0,0,0.7866073965034064,20.400000000000002,-14.699999809265137,96190,79.0,96190,0.0,96190,1000.7999877929688,96190,2024-01-16T15:00:00.000000
0.000041904276072708474,0.000019181730947753003,3,0,0,0,0.7872388113237951,6.0,-17.799999237060547,96350,73.0,96190,0.0,96190,1000.2000122070312,96190,2024-01-16T06:00:00.000000
NaN,-0.0,0,0,0,2,0.6894247697327919,20.6,2.200000047683716,96190,60.0,96190,0.0,96190,1008.2000122070312,96190,2024-01-21T15:00:00.000000
NaN,-0.0,0,0,0,2,0.6894258675158631,4.0,-2.0999999046325684,96350,86.0,96190,0.20000000298023224,96190,1014.5999755859375,96190,2024-01-21T06:00:00.000000
0.000032927997112196865,7.879283532368038e-6,1,0,0,0,0.8513436533695046,25.5,0.30000001192092896,96190,83.0,96190,0.0,96190,1004.5999755859375,96190,2024-01-26T15:00:00.000000
0.0000322482540025364,0.0000221140356426149,3,0,0,0,0.8516835862403136,4.2,-2.0999999046325684,96350,83.0,96190,0.0,96190,1017.7000122070312,96190,2024-01-26T06:00:00.000000
NaN,-0.0,0,0,0,2,0.6818193792487094,25.3,22.200000762939453,96190,42.0,96190,0.0,96560,1002.4000244140625,96190,2024-07-01T15:00:00.000000
NaN,-0.0,0,0,0,2,0.6814708311676084,22.900000000000002,15.0,96190,82.0,96190,0.0,96560,1002.5999755859375,96190,2024-07-01T06:00:00.000000
NaN,-0.0,0,0,0,2,0.7421367488142662,25.200000000000003,18.299999237060547,96190,51.0,96190,0.0,96190,1001.4000244140625,96190,2024-07-06T15:00:00.000000
NaN,-0.0,0,0,0,2,0.7422284146742475,30.900000000000002,12.699999809265137,96190,82.0,96190,0.0,96190,999.7999877929688,96190,2024-07-06T06:00:00.000000
NaN,-0.0,0,0,0,2,0.6899423646938923,24.700000000000003,22.200000762939453,96190,62.0,96190,0.0,96190,1012.9000244140625,96190,2024-07-11T15:00:00.000000
0.000038952044829196354,2.3460613378747925e-6,1,0,0,2,0.6892277014332444,32.0,17.5,96190,88.0,96190,0.0,96190,1012.4000244140625,96190,2024-07-11T06:00:00.000000
NaN,-0.0,0,0,0,3,0.7551272979145267,26.0,22.700000762939453,96190,50.0,96190,0.0,96190,1013.7000122070312,96190,2024-07-16T15:00:00.000000
NaN,-0.0,0,0,0,2,0.7548172917048951,27.400000000000002,17.200000762939453,96190,75.0,96190,0.0,96190,1013.7999877929688,96190,2024-07-16T06:00:00.000000
NaN,-0.0,0,0,0,2,0.676008242875352,27.0,23.899999618530273,96190,54.0,96190,0.0,96190,1012.0,96190,2024-07-21T15:00:00.000000
NaN,-0.0,0,0,0,2,0.67603826611158,30.6,16.399999618530273,96190,81.0,96190,0.0,96190,1013.5999755859375,96190,2024-07-21T06:00:00.000000
NaN,-0.0,0,0,0,2,0.7389457200058117,22.400000000000002,24.299999237060547,96190,44.0,96190,0.0,96190,1009.7999877929688,96190,2024-07-26T15:00:00.000000
NaN,-0.0,0,0,0,2,0.7395979667756237,14.5,15.699999809265137,96190,76.0,96190,0.0,96190,1011.0,96190,2024-07-26T06:00:00.000000
