,index,vehicle,timestart,timestop,detected_berth,computed_berths_for_vehicle,route,status,remarks,enter_terminal,exit_terminal,time_to_berth,time_from_berth
4,26,9031005920505671,2022-03-22 07:00:43,2022-03-22 07:10:30,B6,['B6'],"['12', '12']",confirmed,{},1647928827,1647929491,16.0,61.0
5,27,9031005918308622,2022-03-22 07:01:15,2022-03-22 07:05:03,C3,"['C1', 'C3']","['530', '522']",confirmed,{},1647928857,1647929171,18.0,68.0
6,35,9031005920505509,2022-03-22 07:02:35,2022-03-22 07:06:02,B3,"['B3', 'A4']","['5', '5']",confirmed,{},1647928928,1647929231,27.0,69.0
7,39,9031005920505505,2022-03-22 07:02:37,2022-03-22 07:05:30,C5,"['C5', 'C4']","['16', '16']",confirmed,{},1647928943,1647929190,14.0,60.0
8,43,9031005920505666,2022-03-22 07:02:51,2022-03-22 07:04:50,D1,"['A6', 'D1', 'A2']","['2', '23', '1']",confirmed,{},1647928961,1647929175,10.0,85.0
9,46,9031005920505651,2022-03-22 07:03:18,2022-03-22 07:05:09,A2,"['A2', 'A3']","['1', '1']",confirmed,{},1647928967,1647929160,31.0,51.0
10,52,9031005920505646,2022-03-22 07:04:23,2022-03-22 07:04:38,A6,['A6'],"['4', '2']",confirmed,{},1647929026,1647929249,37.0,171.0
11,62,9031005920505669,2022-03-22 07:05:30,2022-03-22 07:11:02,A5,['A5'],"['3', '3', '3']",confirmed,{},1647929086,1647929551,44.0,89.0
12,65,9031005920505663,2022-03-22 07:05:50,2022-03-22 07:10:02,A3,"['A3', 'A2', 'D1']","['1', '1', '20']",confirmed,{},1647929097,1647929485,53.0,83.0
13,75,9031005920505515,2022-03-22 07:07:20,2022-03-22 07:08:38,A4,"['A4', 'B3']","['5', '5']",confirmed,{},1647929215,1647929382,25.0,64.0
14,80,9031005920505665,2022-03-22 07:08:20,2022-03-22 07:09:53,B2,"['B2', 'B4']","['13', '13']",confirmed,{},1647929262,1647929469,38.0,76.0
15,85,9031005920505757,2022-03-22 07:09:36,2022-03-22 07:16:03,B5,"['E1', 'B5', 'A1']","['6', '18', '14']",confirmed,{},1647929348,1647929819,28.0,56.0
16,91,9031005920505658,2022-03-22 07:09:51,2022-03-22 07:10:59,C4,['C4'],['16'],confirmed,{},1647929361,1647929504,30.0,45.0
17,55,9031005920505646,2022-03-22 07:10:03,2022-03-22 07:14:13,A6,['A6'],"['4', '2']",confirmed,{},1647929287,1647929705,116.0,52.0
18,97,9031005920505514,2022-03-22 07:12:57,2022-03-22 07:15:01,A2,"['A2', 'A3']","['1', '1']",confirmed,{},1647929538,1647929753,39.0,52.0
19,100,9031005920505746,2022-03-22 07:13:11,2022-03-22 07:18:13,B2,['B2'],"['11', '11', '11', '11']",confirmed,{},1647929553,1647929931,38.0,38.0
20,106,9031005920505511,2022-03-22 07:16:09,2022-03-22 07:17:51,A4,['A4'],['5'],confirmed,{},1647929742,1647929938,27.0,67.0
21,109,9031005918308829,2022-03-22 07:16:10,2022-03-22 07:20:18,C3,['C3'],"['521', '521']",confirmed,{},1647929738,1647930080,32.0,62.0
22,116,9031005920505675,2022-03-22 07:17:20,2022-03-22 07:23:13,A5,['A5'],"['3', '3']",confirmed,{},1647929814,1647930283,26.0,90.0
23,115,9031005920505506,2022-03-22 07:17:44,2022-03-22 07:22:18,B4,['B4'],['13'],confirmed,{},1647929823,1647930181,41.0,43.0
24,132,9031005920505516,2022-03-22 07:18:36,2022-03-22 07:22:12,D1,"['A6', 'D1']","['4', '20']",confirmed,{},1647929906,1647930272,10.0,140.0
25,125,9031005920505510,2022-03-22 07:19:33,2022-03-22 07:19:59,B3,['B3'],['5'],confirmed,{},1647929938,1647930059,35.0,60.0
26,150,9031005920505668,2022-03-22 07:22:07,2022-03-22 07:25:00,B2,['B2'],['13'],confirmed,{},1647930097,1647930348,30.0,48.0
27,152,9031005920505735,2022-03-22 07:22:13,2022-03-22 07:24:59,B5,['B5'],['14'],confirmed,{},1647930116,1647930358,17.0,59.0
28,156,9031005920505649,2022-03-22 07:22:40,2022-03-22 07:25:07,A2,['A2'],['1'],confirmed,{},1647930122,1647930355,38.0,48.0
29,139,9031005920505667,2022-03-22 07:23:09,2022-03-22 07:25:28,D1,"['B5', 'D1', 'A2']","['18', '23', '1']",confirmed,{},1647929984,1647930139,205.0,-189.0
30,161,9031005920505676,2022-03-22 07:23:47,2022-03-22 07:25:07,B6,['B6'],"['12', '12']",confirmed,{},1647930206,1647930374,21.0,67.0
31,164,9031005920505503,2022-03-22 07:23:52,2022-03-22 07:30:07,A3,['A3'],['1'],confirmed,{},1647930198,1647930684,34.0,77.0
32,173,9031005918308718,2022-03-22 07:26:00,2022-03-22 07:35:02,C3,"['C1', 'C3']","['566', '522']",confirmed,{},1647930341,1647930947,19.0,45.0
33,174,9031005918308733,2022-03-22 07:27:24,2022-03-22 07:32:40,C2,"['C1', 'C2']","['539', '520']",confirmed,{},1647930410,1647930817,34.0,57.0
34,171,9031005920505502,2022-03-22 07:27:39,2022-03-22 07:28:16,B3,['B3'],['5'],confirmed,{},1647930436,1647930591,23.0,95.0
35,175,9031005920505517,2022-03-22 07:27:49,2022-03-22 07:28:06,A4,['A4'],['5'],confirmed,{},1647930442,1647930592,27.0,106.0
36,178,9031005920505659,2022-03-22 07:28:10,2022-03-22 07:35:14,A5,['A5'],['3'],confirmed,{},1647930463,1647930963,27.0,49.0
37,180,9031005920505754,2022-03-22 07:28:21,2022-03-22 07:33:04,B2,['B2'],"['11', '11']",confirmed,{},1647930456,1647930840,45.0,56.0
38,183,9031005920505699,2022-03-22 07:31:19,2022-03-22 07:32:18,A6,"['A5', 'A6']","['3', '4']",confirmed,{},1647930611,1647930833,68.0,95.0
39,199,9031005920505734,2022-03-22 07:32:06,2022-03-22 07:40:09,B5,"['E1', 'B5']","['6', '18']",confirmed,{'at_crossing': 'B4'},1647930693,1647931267,33.0,58.0
40,201,9031005920505653,2022-03-22 07:32:12,2022-03-22 07:33:02,C4,['C4'],['16'],confirmed,{},1647930714,1647930847,18.0,65.0
41,12,9031005920505673,2022-03-22 07:32:22,2022-03-22 07:35:47,A2,"['A3', 'A2']","['1', '1']",confirmed,{},1647930698,1647931031,44.0,84.0
42,131,9031005918308830,2022-03-22 07:32:53,2022-03-22 07:35:29,C2,"['C1', 'C2']","['39', '520']",confirmed,{'at_crossing': 'C1'},1647929896,1647929995,877.0,-934.0
43,208,9031005920505732,2022-03-22 07:33:28,2022-03-22 07:36:55,D1,"['A1', 'D1']","['15', '20']",confirmed,{},1647930793,1647931097,15.0,82.0
44,211,9031005920505677,2022-03-22 07:33:30,2022-03-22 07:36:58,B4,['B4'],['13'],confirmed,{},1647930779,1647931096,31.0,78.0
45,197,9031005920505655,2022-03-22 07:34:11,2022-03-22 07:38:00,A6,['A6'],['2'],confirmed,{},1647930623,1647930754,228.0,-326.0
46,214,9031005920505513,2022-03-22 07:34:29,2022-03-22 07:35:11,B3,['B3'],['5'],confirmed,{'at_crossing': 'B2'},1647930835,1647931036,34.0,125.0
47,216,9031005918308832,2022-03-22 07:37:48,2022-03-22 07:44:07,C3,"['C3', 'B4']","['521', '243']",confirmed,{},1647931048,1647931532,20.0,85.0
48,224,9031005920505654,2022-03-22 07:37:56,2022-03-22 07:40:24,B6,"['A5', 'B6']","['3', '12']",confirmed,{},1647931055,1647931278,21.0,54.0
49,229,9031005920505650,2022-03-22 07:38:50,2022-03-22 07:40:07,B2,['B2'],['13'],confirmed,{},1647931102,1647931248,28.0,41.0
50,231,9031005920505662,2022-03-22 07:39:14,2022-03-22 07:45:34,A6,['A6'],"['2', '4']",confirmed,{},1647931136,1647931637,18.0,103.0
51,22,9031005920505688,2022-03-22 07:40:26,2022-03-22 07:47:54,B2,['B2'],"['11', '11', '11']",confirmed,{},1647931147,1647931764,79.0,90.0
52,235,9031005920505681,2022-03-22 07:40:38,2022-03-22 07:41:09,C5,"['B6', 'C5']","['12', '17']",confirmed,{},1647931225,1647931342,13.0,73.0
53,237,9031005920505656,2022-03-22 07:40:59,2022-03-22 07:41:33,A3,['A3'],['1'],confirmed,{},1647931230,1647931351,29.0,58.0
54,226,9031005918308719,2022-03-22 07:42:01,2022-03-22 07:42:55,B6,"['C1', 'B6']","['540', '240']",confirmed,{},1647931066,1647931271,255.0,-104.0
55,246,9031005920505501,2022-03-22 07:42:23,2022-03-22 07:42:52,A4,['A4'],['5'],confirmed,{},1647931314,1647931424,29.0,52.0
56,44,9031005920505666,2022-03-22 07:42:42,2022-03-22 07:45:00,A2,"['A6', 'D1', 'A2']","['2', '23', '1']",confirmed,{},1647931321,1647931538,41.0,38.0
57,251,9031005920505698,2022-03-22 07:43:52,2022-03-22 07:47:03,A5,"['C5', 'A5']","['17', '3']",confirmed,{},1647931409,1647931683,23.0,60.0
58,252,9031005917108322,2022-03-22 07:43:55,2022-03-22 07:50:01,B6,"['C2', 'B6']","['520', '240']",confirmed,{},1647931417,1647931876,18.0,75.0
59,250,9031005920505508,2022-03-22 07:44:17,2022-03-22 07:46:42,B3,['B3'],['5'],confirmed,{},1647931425,1647931671,32.0,69.0
60,260,9031005920505745,2022-03-22 07:45:27,2022-03-22 07:46:23,D1,"['E1', 'D1']","['6', '23']",confirmed,{},1647931515,1647931677,12.0,94.0
61,263,9031005918308625,2022-03-22 07:45:28,2022-03-22 07:45:51,C3,"['C3', 'C1']","['522', '539']",confirmed,{},1647931510,1647931648,18.0,97.0
62,268,9031005920505647,2022-03-22 07:45:30,2022-03-22 07:47:02,B5,['B5'],['14'],confirmed,{},1647931503,1647931746,27.0,124.0
63,221,9031005918308832,2022-03-22 07:47:07,2022-03-22 07:49:05,B4,"['C3', 'B4']","['521', '243']",confirmed,{},1647931572,1647931781,55.0,36.0
64,279,9031005920505674,2022-03-22 07:47:56,2022-03-22 07:49:57,C5,['C5'],['16'],confirmed,{},1647931642,1647931868,34.0,71.0
65,42,9031005920505505,2022-03-22 07:47:57,2022-03-22 07:50:15,C4,"['C5', 'C4']","['16', '16']",confirmed,{},1647931622,1647931892,55.0,77.0
68,262,9031005920505745,2022-03-22 07:48:39,2022-03-22 07:54:41,D1,"['E1', 'D1']","['6', '23']",confirmed,{},1647931709,1647932151,10.0,70.0
69,192,9031005918308644,2022-03-22 07:49:11,2022-03-22 07:50:09,C3,['C3'],"['522', '521']",confirmed,{},1647930634,1647930759,1117.0,-1050.0
70,82,9031005920505665,2022-03-22 07:50:14,2022-03-22 07:52:23,B4,"['B2', 'B4']","['13', '13']",confirmed,{},1647931783,1647931990,31.0,47.0
71,37,9031005920505509,2022-03-22 07:50:34,2022-03-22 07:53:29,A4,"['B3', 'A4']","['5', '5']",confirmed,{},1647931806,1647932072,28.0,63.0
72,48,9031005920505651,2022-03-22 07:50:46,2022-03-22 07:51:16,A3,"['A2', 'A3']","['1', '1']",confirmed,{},1647931814,1647931913,32.0,37.0
73,8,9031005920505682,2022-03-22 07:52:09,2022-03-22 07:56:01,A6,['A6'],"['2', '2', '4']",confirmed,{},1647931897,1647932248,32.0,87.0
74,59,9031005920505661,2022-03-22 07:52:22,2022-03-22 07:54:54,B2,"['B4', 'B2']","['13', '13']",confirmed,{},1647929035,1647929274,2907.0,-2820.0
75,243,9031005917108316,2022-03-22 07:52:56,2022-03-22 07:55:30,C2,"['C1', 'C2']","['65', '620']",confirmed,{},1647931294,1647931413,682.0,-717.0
76,298,9031005920505697,2022-03-22 07:53:17,2022-03-22 07:55:09,B6,"['A5', 'B6']","['3', '12']",confirmed,{},1647931970,1647932236,27.0,127.0
77,78,9031005920505515,2022-03-22 07:53:43,2022-03-22 07:56:23,B3,"['A4', 'B3']","['5', '5']",confirmed,{},1647931981,1647932254,42.0,71.0
78,300,9031005918308721,2022-03-22 07:53:46,2022-03-22 07:54:52,B4,['B4'],['243'],confirmed,{},1647932003,1647932162,23.0,70.0
