cluster,nb_trajs,berths
0,7,C1
1,8,C2
2,11,B6
3,17,C5
4,12,C4
5,1,"C2, C3, C5"
6,9,B4
7,9,C3
8,1,"C2, C3"
9,1,"B1, B6"
10,1,"C3, C4"
11,1,"B6, E2"
12,10,A4
13,10,B3
14,7,A3
15,9,A1
16,10,B2
17,11,A2
18,1,"A1, A4"
19,1,"D1, E2"
20,1,"A5, B1"
21,9,A6
22,6,B5
23,2,"A6, D1"
24,8,A5
25,11,D1
26,1,"B5, B6"
27,2,"A1, A3"
28,1,"A5, A6"
29,1,"A4, D1"
30,2,"A2, E2"
31,1,"A3, E2"
32,1,"A6, E2"
33,1,"B2, B3"
34,1,"A1, D1"
35,1,"B1, C5"
36,1,"A6, E1"
37,2,E1
38,1,"C4, C5"
39,1,"A4, E1"
40,1,"B1, B5"
41,5,B1
42,1,"A5, E1"
43,3,E2
44,1,"A5, E2"
45,1,"A1, E1"
46,1,E2
47,1,"B6, C1"
