service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20220321,20220610
2,0,0,0,0,0,0,0,20220319,20220611
3,0,0,0,0,0,0,0,20220319,20220611
4,0,0,0,0,0,0,0,20220319,20220611
5,0,0,0,0,0,0,0,20220415,20220415
6,0,0,0,0,0,0,0,20220320,20220612
7,0,0,0,0,0,0,0,20220319,20220612
8,0,0,0,0,0,0,0,20220325,20220610
9,0,0,0,0,0,0,0,20220321,20220610
10,0,0,0,0,0,0,0,20220319,20220611
11,0,0,0,0,0,0,0,20220319,20220612
12,0,0,0,0,0,0,0,20220321,20220607
13,0,0,0,0,0,0,0,20220319,20220611
14,0,0,0,0,0,0,0,20220320,20220612
15,0,0,0,0,0,0,0,20220320,20220612
16,0,0,0,0,0,0,0,20220320,20220612
17,0,0,0,0,0,0,0,20220319,20220611
18,0,0,0,0,0,0,0,20220320,20220612
19,0,0,0,0,0,0,0,20220321,20220609
20,0,0,0,0,0,0,0,20220319,20220406
21,0,0,0,0,0,0,0,20220325,20220610
22,0,0,0,0,0,0,0,20220320,20220410
23,0,0,0,0,0,0,0,20220320,20220612
24,0,0,0,0,0,0,0,20220407,20220611
25,0,0,0,0,0,0,0,20220415,20220612
26,0,0,0,0,0,0,0,20220415,20220605
27,0,0,0,0,0,0,0,20220321,20220610
28,0,0,0,0,0,0,0,20220320,20220612
29,0,0,0,0,0,0,0,20220319,20220611
30,0,0,0,0,0,0,0,20220415,20220606
31,0,0,0,0,0,0,0,20220320,20220612
32,0,0,0,0,0,0,0,20220323,20220608
33,0,0,0,0,0,0,0,20220319,20220611
34,0,0,0,0,0,0,0,20220325,20220610
35,0,0,0,0,0,0,0,20220411,20220527
36,0,0,0,0,0,0,0,20220323,20220608
37,0,0,0,0,0,0,0,20220321,20220610
38,0,0,0,0,0,0,0,20220411,20220527
39,0,0,0,0,0,0,0,20220321,20220610
40,0,0,0,0,0,0,0,20220321,20220610
