service_id,date,exception_type
1,20220321,1
1,20220322,1
1,20220323,1
1,20220324,1
1,20220325,1
1,20220328,1
1,20220329,1
1,20220330,1
1,20220331,1
1,20220401,1
1,20220404,1
1,20220405,1
1,20220406,1
1,20220407,1
1,20220408,1
1,20220411,1
1,20220412,1
1,20220413,1
1,20220414,1
1,20220419,1
1,20220420,1
1,20220421,1
1,20220422,1
1,20220425,1
1,20220426,1
1,20220427,1
1,20220428,1
1,20220429,1
1,20220502,1
1,20220503,1
1,20220504,1
1,20220505,1
1,20220506,1
1,20220509,1
1,20220510,1
1,20220511,1
1,20220512,1
1,20220513,1
1,20220516,1
1,20220517,1
1,20220518,1
1,20220519,1
1,20220520,1
1,20220523,1
1,20220524,1
1,20220525,1
1,20220527,1
1,20220530,1
1,20220531,1
1,20220601,1
1,20220602,1
1,20220603,1
1,20220607,1
1,20220608,1
1,20220609,1
1,20220610,1
2,20220319,1
2,20220326,1
2,20220402,1
2,20220409,1
2,20220416,1
2,20220423,1
2,20220430,1
2,20220507,1
2,20220514,1
2,20220521,1
2,20220528,1
2,20220604,1
2,20220611,1
3,20220319,1
3,20220321,1
3,20220322,1
3,20220323,1
3,20220324,1
3,20220325,1
3,20220326,1
3,20220328,1
3,20220329,1
3,20220330,1
3,20220331,1
3,20220401,1
3,20220402,1
3,20220404,1
3,20220405,1
3,20220406,1
3,20220407,1
3,20220408,1
3,20220409,1
3,20220411,1
3,20220412,1
3,20220413,1
3,20220414,1
3,20220416,1
3,20220419,1
3,20220420,1
3,20220421,1
3,20220422,1
3,20220423,1
3,20220425,1
3,20220426,1
3,20220427,1
3,20220428,1
3,20220429,1
3,20220430,1
3,20220502,1
3,20220503,1
3,20220504,1
3,20220505,1
3,20220506,1
3,20220507,1
3,20220509,1
3,20220510,1
3,20220511,1
3,20220512,1
3,20220513,1
3,20220514,1
3,20220516,1
3,20220517,1
3,20220518,1
3,20220519,1
3,20220520,1
3,20220521,1
3,20220523,1
3,20220524,1
3,20220525,1
3,20220527,1
3,20220528,1
3,20220530,1
3,20220531,1
3,20220601,1
3,20220602,1
3,20220603,1
3,20220604,1
3,20220607,1
3,20220608,1
3,20220609,1
3,20220610,1
3,20220611,1
4,20220319,1
4,20220325,1
4,20220326,1
4,20220401,1
4,20220402,1
4,20220408,1
4,20220409,1
4,20220416,1
4,20220422,1
4,20220423,1
4,20220429,1
4,20220430,1
4,20220506,1
4,20220507,1
4,20220513,1
4,20220514,1
4,20220520,1
4,20220521,1
4,20220527,1
4,20220528,1
4,20220603,1
4,20220604,1
4,20220610,1
4,20220611,1
5,20220415,1
6,20220320,1
6,20220327,1
6,20220403,1
6,20220410,1
6,20220415,1
6,20220417,1
6,20220418,1
6,20220424,1
6,20220501,1
6,20220508,1
6,20220515,1
6,20220522,1
6,20220526,1
6,20220529,1
6,20220605,1
6,20220606,1
6,20220612,1
7,20220319,1
7,20220320,1
7,20220326,1
7,20220327,1
7,20220402,1
