from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022005000194002,9022005000194003,1,,55700000063230995,55700000063154854
9022005000194002,9022005000194003,1,,55700000063231095,55700000063154928
9022005000194002,9022005000194003,1,,55700000063231045,55700000063154891
9022005000038001,9022005000038003,1,,55700000065354175,55700000065059846
9022005000038001,9022005000038002,1,,55700000065354378,55700000065352479
9022005000038001,9022005000038002,1,,55700000065354378,55700000065352552
9022005000038001,9022005000038003,1,,55700000065354610,55700000065059257
9022005000038001,9022005000038003,1,,55700000065354835,55700000065059891
9022005000038001,9022005000038002,1,,55700000065354407,55700000065352752
9022005000038001,9022005000038003,1,,55700000065354995,55700000065059752
9022005000038001,9022005000038003,1,,55700000065354931,55700000065059940
9022005000038001,9022005000038003,1,,55700000065354523,55700000065059212
9022005000038001,9022005000038003,1,,55700000065354668,55700000065059707
9022005000038002,9022005000038003,1,,55700000065355515,55700000065059891
9022005000038002,9022005000038003,1,,55700000065355579,55700000065059891
9022005000038002,9022005000038003,1,,55700000065355641,55700000065059846
9022005000038002,9022005000038002,1,,55700000065355907,55700000065352752
9022005000038002,9022005000038003,1,,55700000065356035,55700000065059797
9022005000038002,9022005000038003,1,,55700000065355343,55700000065059302
9022005000038002,9022005000038003,1,,55700000065355343,55700000065059347
9022005000038002,9022005000038003,1,,55700000065356003,55700000065059557
9022005000126015,9022005000126003,1,,55700000063049781,55700000063119763
9022005000126015,9022005000126002,1,,55700000063049781,55700000063233084
9022005000126015,9022005000126005,1,,55700000063050641,55700000063111875
9022005004136006,9022005004136004,1,,55700000063050641,55700000063140256
9022005000993004,9022005000993002,1,,55700000063050641,55700000064823137
9022005000126015,9022005000126005,1,,55700000063052230,55700000063112315
9022005004136006,9022005004136003,1,,55700000063052230,55700000063144692
9022005000126017,9022005000126002,1,,55700000063052576,55700000063233399
9022005000126017,9022005000126002,1,,55700000063052576,55700000063233462
9022005004136006,9022005004136003,1,,55700000063053092,55700000063145071
9022005004136006,9022005004136002,1,,55700000063053092,55700000063151991
9022005000126017,9022005000126005,1,,55700000063056016,55700000063111354
9022005000126017,9022005000126005,1,,55700000063056016,55700000063112673
9022005000993004,9022005000993002,1,,55700000063057053,55700000064823417
9022005004136006,9022005004136004,1,,55700000063058797,55700000063140144
9022005000126013,9022005000126002,1,,55700000063058797,55700000063233523
9022005000126013,9022005000126001,1,,55700000063058797,55700000063238436
9022005000050024,9022005000050020,1,,55700000063058797,55700000065074528
9022005004137006,9022005004137001,1,,55700000063059047,55700000063121630
9022005000993004,9022005000993002,1,,55700000063059047,55700000063175267
9022005000126017,9022005000126002,1,,55700000063059047,55700000063233828
9022005000050024,9022005000050020,1,,55700000063059047,55700000065074574
9022005000126017,9022005000126003,1,,55700000063059219,55700000063119901
9022005000126017,9022005000126003,1,,55700000063059219,55700000063119975
9022005004137006,9022005004137001,1,,55700000063059391,55700000063121754
9022005000993004,9022005000993002,1,,55700000063059391,55700000064823417
9022005000124003,9022005000124002,1,,55700000063060425,55700000063124277
9022005000126013,9022005000126002,1,,55700000063060425,55700000063233828
9022005000050024,9022005000050020,1,,55700000063060425,55700000065074620
9022005004137006,9022005004137001,1,,55700000063061062,55700000063121795
9022005000124003,9022005000124002,1,,55700000063061062,55700000063124509
9022005004136006,9022005004136004,1,,55700000063061062,55700000063140256
