trajectory_id,vehicle,trajectory_start_timestamp,trajectory_end_timestamp,stop_number,stop_start_timestamp,stop_end_timestamp,detected_berth,start_route,start_direction,start_assigned_berth,end_route,end_direction,end_assigned_berth,start_longitude,start_latitude,remarks
9031005917108310-0,9031005917108310,1647931479,1647931633,0,1647931491,1647931518,-1,555,0,C1,-1,-1,-1,15.624306678772,58.4166221618652,{}
9031005917108310-0,9031005917108310,1647931479,1647931633,1,1647931562,1647931631,-1,-1,-1,-1,-1,-1,-1,15.6221208572388,58.4177055358887,{'zone': True}
9031005917108310-1,9031005917108310,1647933720,1647933727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1
9031005917108310-2,9031005917108310,1647933762,1647933951,0,1647933793,1647933917,-1,-1,-1,-1,555,1,C1,15.6228513717651,58.4173851013184,{}
9031005917108316-0,9031005917108316,1647931294,1647931410,0,1647931325,1647931347,C1,65,0,C1,-1,-1,-1,15.6228609085083,58.4174537658691,{}
9031005917108316-0,9031005917108316,1647931294,1647931410,1,1647931370,1647931406,-1,-1,-1,-1,-1,-1,-1,15.6221733093262,58.4177360534668,{'zone': True}
9031005917108316-1,9031005917108316,1647931790,1647931830,0,1647931798,1647931827,-1,-1,-1,-1,620,1,C2,15.6221590042114,58.4177284240723,{'zone': True}
9031005917108316-2,9031005917108316,1647931940,1647932166,0,1647931976,1647932113,C2,620,1,C2,620,1,C2,15.62331199646,58.4172019958496,{}
9031005917108316-2,9031005917108316,1647931940,1647932166,1,1647932119,1647932130,C2,620,1,C2,620,1,C2,15.6233186721802,58.4172134399414,{}
9031005917108322-0,9031005917108322,1647931417,1647931873,0,1647931435,1647931801,B6,520,0,C2,240,1,B6,15.6244239807129,58.4167633056641,{}
9031005917108324-0,9031005917108324,1647934536,1647934648,0,1647934546,1647934561,C5,566,0,C1,-1,-1,-1,15.6243000030518,58.4166564941406,{}
9031005917108324-0,9031005917108324,1647934536,1647934648,1,1647934598,1647934644,-1,-1,-1,-1,-1,-1,-1,15.6221752166748,58.4177474975586,{'zone': True}
9031005917108411-0,9031005917108411,1647931616,1647931750,0,1647931629,1647931648,C4,522,0,C3,-1,-1,-1,15.6239290237427,58.4168586730957,{}
9031005917108411-0,9031005917108411,1647931616,1647931750,1,1647931698,1647931733,-1,-1,-1,-1,-1,-1,-1,15.6224527359009,58.4177627563477,{}
9031005917108852-0,9031005917108852,1647931947,1647933072,0,1647931965,1647932006,C5,617,0,C2,-1,-1,-1,15.6242427825928,58.4167251586914,{}
9031005917108852-0,9031005917108852,1647931947,1647933072,1,1647932029,1647932137,C3,-1,-1,-1,-1,-1,-1,15.6236715316772,58.4170227050781,{}
