trajectory_id,vehicle,trajectory_start_timestamp,trajectory_end_timestamp,stop_number,stop_start_timestamp,stop_end_timestamp,detected_berth,start_route,start_direction,start_assigned_berth,end_route,end_direction,end_assigned_berth,start_longitude,start_latitude
9031005917108310-0,9031005917108310,1647931479,1647931633,0,1647931490,1647931521,-1,555,0,C1,-1,-1,-1,15.624306678772,58.416618347168
9031005917108310-0,9031005917108310,1647931479,1647931633,1,1647931561,1647931633,-1,-1,-1,-1,-1,-1,-1,15.6221313476563,58.4177017211914
9031005917108310-1,9031005917108310,1647933720,1647933727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0
9031005917108310-2,9031005917108310,1647933762,1647933951,0,1647933792,1647933918,C1,-1,-1,-1,555,1,C1,15.622841835022,58.4174003601074
9031005917108316-0,9031005917108316,1647931294,1647931410,0,1647931325,1647931349,C1,65,0,C1,-1,-1,-1,15.6228609085083,58.4174537658691
9031005917108316-0,9031005917108316,1647931294,1647931410,1,1647931370,1647931406,-1,-1,-1,-1,-1,-1,-1,15.6221733093262,58.4177360534668
9031005917108316-1,9031005917108316,1647931790,1647931830,0,1647931796,1647931828,-1,-1,-1,-1,620,1,C2,15.622163772583,58.4177322387695
9031005917108316-2,9031005917108316,1647931940,1647932166,0,1647931976,1647932133,C2,620,1,C2,620,1,C2,15.62331199646,58.4172019958496
9031005917108322-0,9031005917108322,1647931417,1647931873,0,1647931434,1647931804,B6,520,0,C2,240,1,B6,15.6244258880615,58.4167633056641
9031005917108324-0,9031005917108324,1647934536,1647934648,0,1647934545,1647934561,C5,566,0,C1,-1,-1,-1,15.6243019104004,58.4166564941406
9031005917108324-0,9031005917108324,1647934536,1647934648,1,1647934597,1647934645,-1,-1,-1,-1,-1,-1,-1,15.6221780776978,58.4177474975586
9031005917108411-0,9031005917108411,1647931616,1647931750,0,1647931629,1647931649,C4,522,0,C3,-1,-1,-1,15.6239290237427,58.4168586730957
9031005917108411-0,9031005917108411,1647931616,1647931750,1,1647931694,1647931734,-1,-1,-1,-1,-1,-1,-1,15.6224727630615,58.4177703857422
9031005917108852-0,9031005917108852,1647931947,1647933072,0,1647931965,1647932009,C5,617,0,C2,-1,-1,-1,15.6242427825928,58.4167251586914
9031005917108852-0,9031005917108852,1647931947,1647933072,1,1647932028,1647932140,C3,-1,-1,-1,-1,-1,-1,15.6236610412598,58.4170265197754
9031005917108852-0,9031005917108852,1647931947,1647933072,2,1647932155,1647933018,C2,-1,-1,-1,616,1,C2,15.6233167648315,58.4171829223633
9031005917108852-0,9031005917108852,1647931947,1647933072,3,1647933039,1647933059,-1,616,1,C2,616,1,C2,15.6227359771729,58.417537689209
9031005918308611-0,9031005918308611,1647931483,1647931657,0,1647931508,1647931568,C2,30,0,C1,-1,-1,-1,15.6233205795288,58.4172019958496
9031005918308611-0,9031005918308611,1647931483,1647931657,1,1647931591,1647931603,-1,-1,-1,-1,-1,-1,-1,15.6228151321411,58.4176368713379
9031005918308611-0,9031005918308611,1647931483,1647931657,2,1647931613,1647931634,-1,-1,-1,-1,-1,-1,-1,15.6227121353149,58.4177703857422
9031005918308614-0,9031005918308614,1647931562,1647931663,0,1647931586,1647931602,C2,-1,-1,-1,-1,-1,-1,15.6233282089233,58.4171867370606
9031005918308614-0,9031005918308614,1647931562,1647931663,1,1647931623,1647931637,-1,-1,-1,-1,-1,-1,-1,15.6228332519531,58.4176330566406
9031005918308614-1,9031005918308614,1647932112,1647932132,0,1647932114,1647932127,-1,-1,-1,-1,-1,-1,-1,15.6220827102661,58.4178199768066
9031005918308614-2,9031005918308614,1647932183,1647932488,0,1647932213,1647932386,B4,-1,-1,-1,243,1,B4,15.6237812042236,58.417106628418
9031005918308614-2,9031005918308614,1647932183,1647932488,1,1647932420,1647932486,-1,243,1,B4,243,1,B4,15.6221961975098,58.4176940917969
9031005918308614-3,9031005918308614,1647933201,1647933627,0,1647933227,1647933605,C1,-1,-1,-1,39,1,C1,15.6228656768799,58.4174728393555
9031005918308621-0,9031005918308621,1647931797,1647931894,0,1647931812,1647931836,C5,39,0,C1,-1,-1,-1,15.6242837905884,58.4166641235352
9031005918308621-1,9031005918308621,1647932165,1647932181,0,1647932166,1647932175,-1,-1,-1,-1,-1,-1,-1,15.622073173523,58.4178276062012
9031005918308621-2,9031005918308621,1647932224,1647932529,0,1647932242,1647932404,B6,-1,-1,-1,240,1,B6,15.6244077682495,58.4167671203613
9031005918308621-2,9031005918308621,1647932224,1647932529,1,1647932435,1647932497,-1,240,1,B6,240,1,B6,15.6230382919312,58.4174766540527
