terminal,provider,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6
linköping,otraf,15.6218912408347,58.4177694632727,15.6224848634713,58.4180357142838,15.6250694051049,58.416677334774,15.6248715308927,58.4162404738934,,,,
brommaplan,sl,17.9362218275125,59.338130547705,17.936924217119,59.3378474293064,17.9390283187351,59.3388109607252,17.9383566011638,59.3391112766194,,,,
sollentuna,sl,17.9481379131954,59.4291049510421,17.9490396710309,59.4292359901438,17.9478097224186,59.430540113553,17.9468006124598,59.4304558774346,,,,
ljusdal,xt,16.0971204613124,61.8270955853031,16.101531099977,61.826060154259,16.1012059764037,61.8258125145247,16.0969578995257,61.8269044314322,,,,
bollnäs,xt,16.3923694723404,61.3505471042795,16.3928663593109,61.3516220718594,16.3939981574106,61.3514411975447,16.3933080366181,61.3504662228726,,,,
mora,dt,14.5593196986892,61.0092861267079,14.5614207331017,61.0091790931295,14.5617305206575,61.0088728561761,14.5593043626716,61.0089679980702,,,,
falun_c,dt,15.6395458382893,60.6043861834946,15.6416499399054,60.6038999042515,15.6414045636237,60.6035626660473,15.6391409674244,60.6039706636061,,,,
falun_k,dt,15.6357056994798,60.6050365517124,15.6361412423799,60.6047821268173,15.6343868019653,60.6040429283187,15.6340095359321,60.6042145563629,,,,
borlänge,dt,15.4262494381657,60.4829629337521,15.4278382495901,60.4826879020101,15.4267217875081,60.4816693575586,15.4257218791599,60.4819957788472,,,,
avesta,dt,16.1669453494907,60.143385198073,16.1681446260678,60.1433057966022,16.1685832361715,60.1440891142678,16.1673379515415,60.144257074691,,,,
ludvika,dt,15.1838667470429,60.1510847030754,15.1844617845262,60.1509564690944,15.1836888492386,60.1498725666564,15.1831551558258,60.14999775158,,,,
tierp,ul,17.5110583441064,60.3465474720649,17.5131961849613,60.3455322436813,17.5126256851062,60.3453349609567,17.5105123818795,60.3462606618674,,,,
bålsta,ul,17.5312344088742,59.5695317885956,17.5324766263006,59.5688358066232,17.5309859653889,59.5685530598358,17.5302559709506,59.569140300507,,,,
enköping,ul,17.0855728043306,59.6446829232012,17.0860144816378,59.6448301771472,17.0879345510426,59.6443000599175,17.0875419489918,59.6440985511714,,,,
norrtälje,sl,18.7010719665724,59.7599132838164,18.7013602837035,59.7594344175345,18.6976121609996,59.7589802605885,18.6976612362559,59.7594653123405,,,,
märsta,sl,17.8605937902696,59.6298007427669,17.8611734917352,59.6298053949636,17.8612287013986,59.6281879423877,17.8605968574731,59.6281662310849,,,,
